总价格,单价,地段,房屋户型,所在楼层,建筑面积,户型结构,装修情况
1050.0,116564,"['东城', '陶然亭']",2室2厅1厨1卫,低楼层 ,90.08,平层,精装
578.0,99007,"['东城', '安定门']",2室1厅1厨1卫,中楼层 ,58.38,平层,精装
680.0,94406,"['东城', '东直门']",3室1厅1厨1卫,高楼层 ,72.03,平层,精装
1320.0,104854,"['东城', '建国门外']",4室1厅1厨1卫,低楼层 ,125.89,平层,精装
1380.0,92086,"['东城', '东直门']",3室2厅1厨2卫,中楼层 ,149.86,平层,简装
522.0,97225,"['东城', '崇文门']",2室1厅1厨1卫,低楼层 ,53.69,平层,精装
835.0,128601,"['东城', '东单']",3室1厅1厨1卫,低楼层 ,64.93,平层,精装
1008.0,114157,"['东城', '和平里']",2室1厅1厨1卫,低楼层 ,88.3,平层,精装
595.0,96185,"['东城', '和平里']",2室1厅1厨1卫,低楼层 ,61.86,平层,简装
460.0,75683,"['东城', '永定门']",1室1厅1厨1卫,低楼层 ,60.78,平层,精装
1860.0,132801,"['东城', '东直门']",3室1厅1厨2卫,高楼层 ,140.06,平层,精装
610.0,99059,"['东城', '天坛']",2室1厅1厨1卫,中楼层 ,61.58,平层,简装
420.0,89438,"['东城', '左安门']",1室1厅1厨1卫,中楼层 ,46.96,平层,精装
660.0,121817,"['东城', '东四']",2室1厅1厨1卫,高楼层 ,54.18,平层,简装
616.0,113257,"['东城', '灯市口']",2室1厅1厨1卫,中楼层 ,54.39,平层,简装
776.0,111032,"['东城', '安贞']",2室1厅1厨1卫,高楼层 ,69.89,平层,简装
639.0,117313,"['东城', '安定门']",2室1厅1厨1卫,中楼层 ,54.47,平层,简装
720.0,117093,"['东城', '和平里']",2室1厅1厨1卫,低楼层 ,61.49,平层,毛坯
699.0,99858,"['东城', '朝阳门外']",2室1厅1厨1卫,底层 ,70.0,平层,简装
1170.0,106558,"['东城', '东花市']",3室2厅1厨1卫,中楼层 ,109.8,平层,精装
769.0,110712,"['东城', '朝阳门内']",2室1厅1厨1卫,中楼层 ,69.46,平层,简装
560.0,95433,"['东城', '东直门']",2室1厅1厨1卫,中楼层 ,58.68,平层,精装
549.0,98494,"['东城', '东直门']",2室1厅1厨1卫,低楼层 ,55.74,平层,简装
650.0,115927,"['东城', '和平里']",2室1厅1厨1卫,中楼层 ,56.07,平层,精装
469.0,79857,"['东城', '左安门']",2室1厅1厨1卫,中楼层 ,58.73,平层,精装
