总价格,单价,地段,房屋户型,所在楼层,建筑面积,户型结构,装修情况
1230.0,87377,"['海淀', '海淀北部新区']",3室2厅1厨2卫,中楼层 ,140.77,平层,毛坯
990.0,79030,"['海淀', '田村']",3室1厅1厨2卫,中楼层 ,125.27,平层,简装
945.0,59390,"['海淀', '清河']",3室2厅1厨2卫,低楼层 ,159.12,平层,简装
968.0,83665,"['海淀', '五棵松']",4室2厅1厨2卫,顶层 ,115.7,复式,精装
1080.0,102080,"['海淀', '田村']",2室1厅1厨2卫,低楼层 ,105.8,平层,精装
467.0,84602,"['海淀', '马连洼']",2室1厅1厨1卫,中楼层 ,55.2,平层,精装
428.0,70050,"['海淀', '清河']",2室1厅1厨1卫,高楼层 ,61.1,平层,精装
528.0,93287,"['海淀', '公主坟']",3室1厅1厨1卫,顶层 ,56.6,平层,简装
635.0,88232,"['海淀', '清河']",1室1厅1厨1卫,中楼层 ,71.97,平层,简装
525.0,106061,"['海淀', '双榆树']",2室1厅1厨1卫,底层 ,49.5,平层,精装
510.0,62963,"['海淀', '玉泉路']",1室1厅1厨1卫,低楼层 ,81.0,平层,简装
958.0,74669,"['海淀', '马连洼']",4室1厅1厨2卫,中楼层 ,128.3,平层,精装
700.0,51929,"['海淀', '西三旗']",3室2厅1厨2卫,顶层 ,134.8,复式,精装
860.0,71081,"['海淀', '五棵松']",3室1厅1厨2卫,低楼层 ,120.99,平层,精装
598.0,71438,"['海淀', '玉泉路']",3室1厅1厨1卫,顶层 ,83.71,平层,简装
1250.0,84176,"['海淀', '上地']",4室2厅1厨2卫,顶层 ,148.5,复式,精装
1315.0,101420,"['海淀', '学院路']",3室2厅1厨2卫,中楼层 ,129.66,平层,简装
1150.0,127495,"['海淀', '双榆树']",4室1厅1厨1卫,中楼层 ,90.2,平层,精装
650.0,84857,"['海淀', '小西天']",3室1厅1厨1卫,顶层 ,76.6,平层,简装
950.0,77761,"['海淀', '中关村']",3室2厅1厨2卫,低楼层 ,122.17,平层,简装
1070.0,89683,"['海淀', '海淀北部新区']",3室2厅1厨2卫,中楼层 ,119.31,平层,简装
890.0,106244,"['海淀', '紫竹桥']",2室1厅1厨1卫,高楼层 ,83.77,平层,简装
555.0,101835,"['海淀', '颐和园']",2室1厅1厨1卫,中楼层 ,54.5,平层,简装
680.0,95119,"['海淀', '苏州桥']",2室1厅1厨1卫,中楼层 ,71.49,平层,简装
465.0,67343,"['海淀', '西二旗']",2室1厅1厨1卫,底层 ,69.05,平层,简装
498.0,89408,"['海淀', '五道口']",2室1厅1厨1卫,底层 ,55.7,平层,精装
328.0,55594,"['海淀', '海淀北部新区']",1室1厅1厨1卫,高楼层 ,59.0,平层,精装
392.0,67587,"['海淀', '田村']",2室1厅1厨1卫,中楼层 ,58.0,平层,简装
485.0,87090,"['海淀', '西北旺']",1室1厅1厨1卫,低楼层 ,55.69,平层,精装
645.0,74645,"['海淀', '清河']",3室1厅1厨1卫,中楼层 ,86.41,平层,精装
960.0,89369,"['海淀', '定慧寺']",2室1厅1厨1卫,高楼层 ,107.42,平层,精装
499.0,93272,"['海淀', '紫竹桥']",2室1厅1厨1卫,中楼层 ,53.5,平层,精装
550.0,65531,"['海淀', '清河']",3室1厅1厨1卫,底层 ,83.93,平层,精装
440.0,67714,"['海淀', '玉泉路']",2室1厅1厨1卫,低楼层 ,64.98,平层,精装
790.0,98259,"['海淀', '紫竹桥']",3室1厅1厨1卫,中楼层 ,80.4,平层,精装
445.0,72124,"['海淀', '马连洼']",2室1厅1厨1卫,底层 ,61.7,平层,简装
580.0,99828,"['海淀', '苏州桥']",2室1厅1厨1卫,中楼层 ,58.1,平层,精装
1499.0,68211,"['海淀', '四季青']",4室2厅1厨2卫,高楼层 ,219.76,复式,简装
635.0,85811,"['海淀', '甘家口']",3室1厅1厨1卫,顶层 ,74.0,平层,精装
980.0,69876,"['海淀', '清河']",3室1厅1厨2卫,高楼层 ,140.25,平层,精装
2700.0,109636,"['海淀', '马连洼']",4室2厅1厨4卫,底层 ,246.27,复式,其他
2279.0,125593,"['海淀', '万寿路']",4室2厅1厨2卫,低楼层 ,181.46,平层,精装
880.0,63861,"['海淀', '五棵松']",4室3厅1厨2卫,高楼层 ,137.8,复式,精装
858.0,84783,"['海淀', '五棵松']",3室1厅1厨1卫,高楼层 ,101.2,平层,简装
766.0,138518,"['海淀', '中关村']",2室1厅1厨1卫,顶层 ,55.3,平层,精装
670.0,110198,"['海淀', '五道口']",2室1厅1厨1卫,高楼层 ,60.8,平层,简装
1190.0,128886,"['海淀', '皂君庙']",3室1厅1厨1卫,高楼层 ,92.33,平层,精装
585.0,76571,"['海淀', '西北旺']",2室1厅1厨1卫,顶层 ,76.4,复式,精装
386.0,77046,"['海淀', '田村']",2室1厅1厨1卫,底层 ,50.1,平层,精装
550.0,88567,"['海淀', '知春路']",2室1厅1厨1卫,低楼层 ,62.1,平层,精装
1350.0,124093,"['海淀', '世纪城']",2室1厅1厨1卫,中楼层 ,108.79,平层,简装
945.0,99789,"['海淀', '小西天']",3室2厅1厨1卫,中楼层 ,94.7,平层,简装
540.0,59781,"['海淀', '海淀北部新区']",2室1厅1厨1卫,低楼层 ,90.33,平层,精装
759.0,103140,"['海淀', '世纪城']",2室1厅1厨1卫,中楼层 ,73.59,平层,简装
496.0,85121,"['海淀', '安宁庄']",2室1厅1厨1卫,中楼层 ,58.27,平层,精装
