ΧάΌΫΈρ,µ¥ΌΫ,µΨ¶Ξ,·ΏΞέ»§ΠΝ,ΛωΤΪΒ¥²γ,½¨ΦώΓζ»ύ,»§ΠΝ½αΉΉ,Χ°ΠήΗιΏφ
178,20039,"['»³Θα', '»³Θα']",3ΚÒ1Μό1³ψ1Ξΐ,ΦΠΒ¥²γ ,88.83,Ζ½²γ,Ύ«Χ°
239,26418,"['»³Θα', '»³Θα']",3ΚÒ1Μό1³ψ1Ξΐ,ΦΠΒ¥²γ ,90.47,Ζ½²γ,ΌςΧ°
155,25693,"['»³Θα', '»³Θα']",2ΚÒ1Μό1³ψ1Ξΐ,ΦΠΒ¥²γ ,60.33,Ζ½²γ,ΌςΧ°
410,32223,"['»³Θα', '»³Θα']",3ΚÒ1Μό1³ψ2Ξΐ,µΧ²γ ,127.24,Ζ½²γ,Ύ«Χ°
305,26792,"['»³Θα', '»³Θα']",3ΚÒ2Μό1³ψ2Ξΐ,µΝΒ¥²γ ,113.84,Ζ½²γ,Ύ«Χ°
498,21615,"['»³Θα', '»³Θα']",3ΚÒ2Μό1³ψ2Ξΐ,ΦΠΒ¥²γ ,230.4,Ζ½²γ,Ύ«Χ°
359,26834,"['»³Θα', '»³Θα']",3ΚÒ2Μό1³ψ2Ξΐ,ΦΠΒ¥²γ ,133.79,Ζ½²γ,Ύ«Χ°
430,28008,"['»³Θα', '»³Θα']",4ΚÒ2Μό1³ψ2Ξΐ,ΈίΒ¥²γ ,153.53,Έ΄Κ½,Ύ«Χ°
195,20787,"['»³Θα', '»³Θα']",4ΚÒ2Μό1³ψ2Ξΐ,¶¥²γ ,93.81,Έ΄Κ½,Ύ«Χ°
310,19628,"['»³Θα', '»³Θα']",3ΚÒ3Μό1³ψ2Ξΐ,¶¥²γ ,157.94,Έ΄Κ½,Ύ«Χ°
230,24772,"['»³Θα', '»³Θα']",2ΚÒ1Μό1³ψ1Ξΐ,ΦΠΒ¥²γ ,92.85,Ζ½²γ,ΌςΧ°
159,13649,"['»³Θα', '»³Θα']",2ΚÒ1Μό1³ψ1Ξΐ,ΦΠΒ¥²γ ,116.5,Ζ½²γ,ΌςΧ°
200,25573,"['»³Θα', '»³Θα']",3ΚÒ1Μό1³ψ1Ξΐ,µΧ²γ ,78.21,Ζ½²γ,ΌςΧ°
135,19603,"['»³Θα', '»³Θα']",2ΚÒ1Μό1³ψ1Ξΐ,µΝΒ¥²γ ,68.87,Ζ½²γ,ΌςΧ°
230,26698,"['»³Θα', '»³Θα']",3ΚÒ1Μό1³ψ1Ξΐ,µΧ²γ ,86.15,Ζ½²γ,ΌςΧ°
370,34913,"['»³Θα', '»³Θα']",2ΚÒ1Μό1³ψ1Ξΐ,ΦΠΒ¥²γ ,105.98,Ζ½²γ,Ύ«Χ°
279,30973,"['»³Θα', '»³Θα']",2ΚÒ1Μό1³ψ1Ξΐ,µΧ²γ ,90.08,Ζ½²γ,ΌςΧ°
205,26293,"['»³Θα', '»³Θα']",3ΚÒ1Μό1³ψ1Ξΐ,µΝΒ¥²γ ,77.97,Ζ½²γ,ΌςΧ°
230,25736,"['»³Θα', '»³Θα']",3ΚÒ1Μό1³ψ1Ξΐ,ΈίΒ¥²γ ,89.37,Ζ½²γ,ΖδΛϋ
155,27193,"['»³Θα', '»³Θα']",2ΚÒ1Μό1³ψ1Ξΐ,ΦΠΒ¥²γ ,57.0,Ζ½²γ,ΌςΧ°
150,22793,"['»³Θα', '»³Θα']",2ΚÒ1Μό1³ψ1Ξΐ,ΦΠΒ¥²γ ,65.81,Ζ½²γ,ΌςΧ°
163,22849,"['»³Θα', '»³Θα']",2ΚÒ1Μό1³ψ1Ξΐ,µΝΒ¥²γ ,71.34,Ζ½²γ,ΌςΧ°
314,37786,"['»³Θα', '»³Θα']",2ΚÒ1Μό1³ψ1Ξΐ,µΝΒ¥²γ ,83.1,Ζ½²γ,Ύ«Χ°
145,28719,"['»³Θα', '»³Θα']",2ΚÒ1Μό1³ψ1Ξΐ,ΦΠΒ¥²γ ,50.49,Ζ½²γ,ΌςΧ°
580,23122,"['»³Θα', '»³Θα']",4ΚÒ3Μό1³ψ3Ξΐ,µΧ²γ ,250.85,Έ΄Κ½,ΌςΧ°
175,19853,"['»³Θα', '»³Θα']",3ΚÒ1Μό1³ψ1Ξΐ,ΦΠΒ¥²γ ,88.15,Ζ½²γ,ΌςΧ°
185,20867,"['»³Θα', '»³Θα']",3ΚÒ1Μό1³ψ1Ξΐ,µΧ²γ ,88.66,Ζ½²γ,Ύ«Χ°
144,24862,"['»³Θα', '»³Θα']",2ΚÒ1Μό1³ψ1Ξΐ,µΝΒ¥²γ ,57.92,Ζ½²γ,ΌςΧ°
300,25644,"['»³Θα', '»³Θα']",3ΚÒ1Μό1³ψ1Ξΐ,¶¥²γ ,116.99,Ζ½²γ,Ύ«Χ°
175,28059,"['»³Θα', '»³Θα']",2ΚÒ1Μό1³ψ1Ξΐ,ΦΠΒ¥²γ ,62.37,Ζ½²γ,Ύ«Χ°
225,28858,"['»³Θα', '»³Θα']",3ΚÒ1Μό1³ψ1Ξΐ,ΦΠΒ¥²γ ,77.97,Ζ½²γ,Ύ«Χ°
69,11547,"['»³Θα', '»³ΘαΖδΛό']",2ΚÒ1Μό1³ψ1Ξΐ,µΝΒ¥²γ ,59.76,Ζ½²γ,ΌςΧ°
330,24565,"['»³Θα', '»³Θα']",3ΚÒ1Μό1³ψ2Ξΐ,¶¥²γ ,134.34,Έ΄Κ½,ΖδΛϋ
190,29462,"['»³Θα', '»³Θα']",2ΚÒ1Μό1³ψ1Ξΐ,ΦΠΒ¥²γ ,64.49,Ζ½²γ,Ύ«Χ°
310,22736,"['»³Θα', '»³Θα']",3ΚÒ2Μό1³ψ2Ξΐ,ΦΠΒ¥²γ ,136.35,Ζ½²γ,Ύ«Χ°
220,25227,"['»³Θα', '»³Θα']",2ΚÒ1Μό1³ψ1Ξΐ,ΈίΒ¥²γ ,87.21,Ζ½²γ,Ύ«Χ°
265,36960,"['»³Θα', '»³Θα']",2ΚÒ1Μό1³ψ1Ξΐ,ΦΠΒ¥²γ ,71.7,Ζ½²γ,ΌςΧ°
158,25148,"['»³Θα', '»³Θα']",2ΚÒ1Μό1³ψ1Ξΐ,¶¥²γ ,62.83,Ζ½²γ,ΌςΧ°
142,25182,"['»³Θα', '»³Θα']",2ΚÒ1Μό1³ψ1Ξΐ,ΦΠΒ¥²γ ,56.39,Ζ½²γ,ΌςΧ°
230,29964,"['»³Θα', '»³Θα']",3ΚÒ1Μό1³ψ1Ξΐ,ΦΠΒ¥²γ ,76.76,Ζ½²γ,ΌςΧ°
93,17975,"['»³Θα', '»³Θα']",1ΚÒ1Μό1³ψ1Ξΐ,µΧ²γ ,51.74,Ζ½²γ,ΌςΧ°
88,18254,"['»³Θα', '»³Θα']",1ΚÒ1Μό1³ψ1Ξΐ,µΝΒ¥²γ ,48.21,Ζ½²γ,ΌςΧ°
120,17068,"['»³Θα', '»³Θα']",1ΚÒ1Μό1³ψ1Ξΐ,µΝΒ¥²γ ,70.31,Ζ½²γ,Ύ«Χ°
175,30277,"['»³Θα', '»³Θα']",1ΚÒ1Μό1³ψ1Ξΐ,µΧ²γ ,57.8,Ζ½²γ,ΌςΧ°
179,24955,"['»³Θα', '»³Θα']",3ΚÒ1Μό1³ψ1Ξΐ,ΈίΒ¥²γ ,71.73,Ζ½²γ,ΌςΧ°
253,24403,"['»³Θα', '»³Θα']",3ΚÒ2Μό1³ψ1Ξΐ,ΈίΒ¥²γ ,103.68,Ζ½²γ,ΌςΧ°
185,19466,"['»³Θα', '»³Θα']",3ΚÒ1Μό1³ψ1Ξΐ,ΦΠΒ¥²γ ,95.04,Ζ½²γ,Ύ«Χ°
179,25233,"['»³Θα', '»³Θα']",3ΚÒ1Μό1³ψ1Ξΐ,µΝΒ¥²γ ,70.94,Ζ½²γ,ΌςΧ°
209,32499,"['»³Θα', '»³Θα']",1ΚÒ1Μό1³ψ1Ξΐ,ΦΠΒ¥²γ ,64.31,Ζ½²γ,Ύ«Χ°
170,20145,"['»³Θα', '»³Θα']",2ΚÒ1Μό1³ψ1Ξΐ,ΦΠΒ¥²γ ,84.39,Ζ½²γ,Ύ«Χ°
230,24979,"['»³Θα', '»³Θα']",2ΚÒ1Μό1³ψ1Ξΐ,ΦΠΒ¥²γ ,92.08,Ζ½²γ,Ύ«Χ°
146,24526,"['»³Θα', '»³Θα']",2ΚÒ1Μό1³ψ1Ξΐ,¶¥²γ ,59.53,Ζ½²γ,Ύ«Χ°
138,23000,"['»³Θα', '»³Θα']",2ΚÒ1Μό1³ψ1Ξΐ,ΦΠΒ¥²γ ,60.0,Ζ½²γ,ΌςΧ°
150,26606,"['»³Θα', '»³Θα']",2ΚÒ1Μό1³ψ1Ξΐ,ΦΠΒ¥²γ ,56.38,Ζ½²γ,Ύ«Χ°
160,24432,"['»³Θα', '»³Θα']",2ΚÒ2Μό1³ψ1Ξΐ,ΈίΒ¥²γ ,65.49,Ζ½²γ,ΌςΧ°
140,16465,"['»³Θα', '»³Θα']",2ΚÒ1Μό1³ψ1Ξΐ,ΦΠΒ¥²γ ,85.03,Ζ½²γ,Γ«Εχ
238,25828,"['»³Θα', '»³Θα']",2ΚÒ1Μό1³ψ1Ξΐ,ΦΠΒ¥²γ ,92.15,Ζ½²γ,ΌςΧ°
150,22748,"['»³Θα', '»³Θα']",2ΚÒ1Μό1³ψ1Ξΐ,ΦΠΒ¥²γ ,65.94,Ζ½²γ,ΌςΧ°
153,26190,"['»³Θα', '»³Θα']",2ΚÒ1Μό1³ψ1Ξΐ,ΦΠΒ¥²γ ,58.42,Ζ½²γ,ΖδΛϋ
335,28915,"['»³Θα', '»³Θα']",3ΚÒ2Μό1³ψ2Ξΐ,ΦΠΒ¥²γ ,115.86,Ζ½²γ,Ύ«Χ°
125,18960,"['»³Θα', '»³Θα']",2ΚÒ1Μό1³ψ1Ξΐ,µΝΒ¥²γ ,65.93,Ζ½²γ,ΌςΧ°
98,12688,"['»³Θα', '»³Θα']",3·ΏΌδ1Ξΐ,ΦΠΒ¥²γ ,77.24,Ζ½²γ,Ύ«Χ°
336,26292,"['»³Θα', '»³Θα']",3ΚÒ2Μό1³ψ2Ξΐ,¶¥²γ ,127.8,Έ΄Κ½,Ύ«Χ°
298,20437,"['»³Θα', '»³Θα']",3ΚÒ2Μό2³ψ2Ξΐ,µΝΒ¥²γ ,145.82,Ζ½²γ,ΌςΧ°
185,25455,"['»³Θα', '»³Θα']",3ΚÒ1Μό1³ψ1Ξΐ,µΝΒ¥²γ ,72.68,Ζ½²γ,ΌςΧ°
208,23099,"['»³Θα', '»³Θα']",3ΚÒ1Μό1³ψ1Ξΐ,ΦΠΒ¥²γ ,90.05,Ζ½²γ,Ύ«Χ°
375,32115,"['»³Θα', '»³Θα']",3ΚÒ2Μό1³ψ2Ξΐ,ΦΠΒ¥²γ ,116.77,Ζ½²γ,Ύ«Χ°
330,22589,"['»³Θα', '»³Θα']",3ΚÒ1Μό1³ψ2Ξΐ,µΝΒ¥²γ ,146.09,Ζ½²γ,ΖδΛϋ
830,27301,"['»³Θα', '»³Θα']",4ΚÒ2Μό1³ψ3Ξΐ,µΧ²γ ,304.02,Έ΄Κ½,Ύ«Χ°
219,28013,"['»³Θα', '»³Θα']",3ΚÒ1Μό1³ψ1Ξΐ,ΦΠΒ¥²γ ,78.18,Ζ½²γ,ΌςΧ°
239,25824,"['»³Θα', '»³Θα']",3ΚÒ1Μό1³ψ1Ξΐ,ΦΠΒ¥²γ ,92.55,Ζ½²γ,ΌςΧ°
538,38124,"['»³Θα', '»³Θα']",5ΚÒ3Μό1³ψ2Ξΐ,¶¥²γ ,141.12,Έ΄Κ½,Ύ«Χ°
369,23688,"['»³Θα', '»³Θα']",3ΚÒ2Μό1³ψ2Ξΐ,ΦΠΒ¥²γ ,155.78,Ζ½²γ,Ύ«Χ°
398,29934,"['»³Θα', '»³Θα']",3ΚÒ2Μό1³ψ2Ξΐ,ΦΠΒ¥²γ ,132.96,Ζ½²γ,ΖδΛϋ
450,24577,"['»³Θα', '»³Θα']",3ΚÒ2Μό1³ψ2Ξΐ,ΦΠΒ¥²γ ,183.1,Ζ½²γ,Ύ«Χ°
720,30745,"['»³Θα', '»³Θα']",5ΚÒ2Μό1³ψ2Ξΐ,µΧ²γ ,234.19,Έ΄Κ½,ΖδΛϋ
220,21746,"['»³Θα', '»³Θα']",3ΚÒ1Μό1³ψ1Ξΐ,¶¥²γ ,101.17,Ζ½²γ,ΌςΧ°
158,26667,"['»³Θα', '»³Θα']",2ΚÒ1Μό1³ψ1Ξΐ,ΦΠΒ¥²γ ,59.25,Ζ½²γ,ΌςΧ°
110,15542,"['»³Θα', '»³Θα']",2ΚÒ2Μό1³ψ1Ξΐ,ΈίΒ¥²γ ,70.78,Ζ½²γ,Ύ«Χ°
248,30014,"['»³Θα', '»³Θα']",3ΚÒ1Μό1³ψ1Ξΐ,ΦΠΒ¥²γ ,82.63,Ζ½²γ,ΌςΧ°
259,29180,"['»³Θα', '»³Θα']",2ΚÒ1Μό1³ψ1Ξΐ,µΧ²γ ,88.76,Ζ½²γ,Ύ«Χ°
330,28165,"['»³Θα', '»³Θα']",3ΚÒ1Μό1³ψ2Ξΐ,ΦΠΒ¥²γ ,117.17,Ζ½²γ,ΌςΧ°
233,23622,"['»³Θα', '»³Θα']",2ΚÒ2Μό1³ψ1Ξΐ,ΦΠΒ¥²γ ,98.64,Ζ½²γ,Ύ«Χ°
275,30959,"['»³Θα', '»³Θα']",2ΚÒ1Μό1³ψ1Ξΐ,ΦΠΒ¥²γ ,88.83,Ζ½²γ,Ύ«Χ°
260,29539,"['»³Θα', '»³Θα']",2ΚÒ1Μό1³ψ1Ξΐ,ΦΠΒ¥²γ ,88.02,Ζ½²γ,ΌςΧ°
145,27504,"['»³Θα', '»³Θα']",2ΚÒ1Μό1³ψ1Ξΐ,µΧ²γ ,52.72,Ζ½²γ,Γ«Εχ
188,23236,"['»³Θα', '»³Θα']",2ΚÒ1Μό1³ψ1Ξΐ,µΧ²γ ,80.91,Ζ½²γ,Ύ«Χ°
97,20121,"['»³Θα', '»³Θα']",1ΚÒ1Μό1³ψ1Ξΐ,ΦΠΒ¥²γ ,48.21,Ζ½²γ,ΌςΧ°
299,25801,"['»³Θα', '»³Θα']",3ΚÒ2Μό1³ψ1Ξΐ,µΝΒ¥²γ ,115.89,Ζ½²γ,ΖδΛϋ
289,30002,"['»³Θα', '»³Θα']",2ΚÒ1Μό1³ψ1Ξΐ,µΧ²γ ,96.33,Ζ½²γ,Ύ«Χ°
278,28437,"['»³Θα', '»³Θα']",3ΚÒ1Μό1³ψ1Ξΐ,ΦΠΒ¥²γ ,97.76,Ζ½²γ,ΖδΛϋ
173,25434,"['»³Θα', '»³Θα']",2ΚÒ2Μό1³ψ1Ξΐ,¶¥²γ ,68.02,Ζ½²γ,ΌςΧ°
185,20827,"['»³Θα', '»³Θα']",3ΚÒ1Μό1³ψ1Ξΐ,µΧ²γ ,88.83,Ζ½²γ,ΌςΧ°
535,40421,"['»³Θα', '»³Θα']",3ΚÒ2Μό1³ψ2Ξΐ,ΈίΒ¥²γ ,132.36,Ζ½²γ,Ύ«Χ°
230,23761,"['»³Θα', '»³Θα']",2ΚÒ2Μό1³ψ1Ξΐ,ΦΠΒ¥²γ ,96.8,Ζ½²γ,ΖδΛϋ
238,27360,"['»³Θα', '»³Θα']",3ΚÒ1Μό1³ψ1Ξΐ,ΈίΒ¥²γ ,86.99,Ζ½²γ,ΌςΧ°
215,27959,"['»³Θα', '»³Θα']",3ΚÒ1Μό1³ψ1Ξΐ,µΧ²γ ,76.9,Ζ½²γ,Ύ«Χ°
350,27484,"['»³Θα', '»³Θα']",3ΚÒ2Μό1³ψ2Ξΐ,µΧ²γ ,127.35,Ζ½²γ,Ύ«Χ°
259,29180,"['»³Θα', '»³Θα']",2ΚÒ1Μό1³ψ1Ξΐ,ΦΠΒ¥²γ ,88.76,Ζ½²γ,ΖδΛϋ
133,20155,"['»³Θα', '»³Θα']",2ΚÒ1Μό1³ψ1Ξΐ,¶¥²γ ,65.99,Ζ½²γ,Ύ«Χ°
