总价格,单价,地段,房屋户型,所在楼层,建筑面积,户型结构,装修情况
183.0,34984,"['通州', '万达']",2室1厅1厨1卫,顶层 ,52.31,平层,简装
378.0,40209,"['通州', '梨园']",2室1厅1厨1卫,高楼层 ,94.01,平层,简装
235.0,34851,"['通州', '果园']",2室1厅1厨1卫,中楼层 ,67.43,平层,简装
448.0,43674,"['通州', '北关']",2室1厅1厨1卫,底层 ,102.58,平层,精装
280.0,37625,"['通州', '武夷花园']",1室1厅1厨1卫,高楼层 ,74.42,平层,简装
588.0,40552,"['通州', '果园']",3室2厅1厨2卫,中楼层 ,145.0,平层,精装
518.0,43120,"['通州', '潞苑']",3室2厅1厨1卫,顶层 ,120.13,复式,简装
479.0,33269,"['通州', '通州北苑']",3室2厅1厨2卫,低楼层 ,143.98,平层,简装
618.0,47371,"['通州', '武夷花园']",3室2厅1厨2卫,底层 ,130.46,跃层,精装
510.0,38012,"['通州', '万达']",3室2厅1厨2卫,高楼层 ,134.17,复式,精装
468.0,50953,"['通州', '通州北苑']",2室2厅1厨1卫,中楼层 ,91.85,平层,简装
236.0,34483,"['通州', '梨园']",2室1厅1厨1卫,低楼层 ,68.44,平层,精装
219.0,37132,"['通州', '果园']",2室1厅1厨1卫,底层 ,58.98,平层,简装
385.0,42206,"['通州', '梨园']",3室1厅1厨1卫,低楼层 ,91.22,平层,简装
324.0,31323,"['通州', '果园']",2室2厅1厨1卫,高楼层 ,103.44,复式,精装
225.0,32737,"['通州', '通州北苑']",2室1厅1厨1卫,中楼层 ,68.73,平层,简装
309.0,50106,"['通州', '万达']",2室1厅1厨1卫,底层 ,61.67,平层,简装
280.0,36611,"['通州', '临河里']",2室1厅1厨1卫,高楼层 ,76.48,平层,精装
364.0,40128,"['通州', '潞苑']",3室2厅1厨1卫,高楼层 ,90.71,平层,简装
229.0,36500,"['通州', '万达']",3室1厅1厨1卫,低楼层 ,62.74,平层,简装
279.0,31547,"['通州', '九棵树(家乐福)']",2室2厅1厨1卫,中楼层 ,88.44,平层,简装
289.0,37626,"['通州', '潞苑']",2室1厅1厨1卫,顶层 ,76.81,平层,精装
429.0,49544,"['通州', '潞苑']",2室1厅1厨1卫,低楼层 ,86.59,平层,精装
433.0,46187,"['通州', '武夷花园']",2室1厅1厨1卫,低楼层 ,93.75,平层,简装
215.0,31323,"['通州', '北关']",2室1厅1厨1卫,底层 ,68.64,平层,简装
440.0,48067,"['通州', '临河里']",2室1厅1厨1卫,中楼层 ,91.54,平层,精装
325.0,43701,"['通州', '武夷花园']",1室1厅1厨1卫,中楼层 ,74.37,平层,简装
359.0,38900,"['通州', '九棵树(家乐福)']",2室1厅1厨1卫,中楼层 ,92.29,平层,精装
218.0,37548,"['通州', '万达']",2室1厅1厨1卫,低楼层 ,58.06,平层,精装
235.0,39966,"['通州', '临河里']",2室1厅1厨1卫,高楼层 ,58.8,平层,精装
298.0,35334,"['通州', '万达']",3室1厅1厨1卫,中楼层 ,84.34,平层,精装
278.0,29629,"['通州', '马驹桥']",2室1厅1厨1卫,中楼层 ,93.83,平层,精装
478.0,52207,"['通州', '武夷花园']",2室1厅1厨1卫,中楼层 ,91.56,平层,简装
325.0,39385,"['通州', '梨园']",2室1厅1厨1卫,底层 ,82.52,平层,简装
368.0,41191,"['通州', '九棵树(家乐福)']",2室1厅1厨1卫,底层 ,89.34,平层,简装
466.0,52260,"['通州', '武夷花园']",2室1厅1厨1卫,中楼层 ,89.17,平层,精装
720.0,45261,"['通州', '临河里']",3室1厅1厨2卫,中楼层 ,159.08,平层,简装
465.0,39710,"['通州', '九棵树(家乐福)']",3室2厅1厨2卫,中楼层 ,117.1,平层,精装
