,标题,总价格,单价,地段,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,供暖方式,配备电梯,挂牌时间,交易权属,上次交易,房屋用途,房屋年限,产权所属,抵押信息,房本备件,核心卖点,小区介绍,户型介绍,装修描述,税费解析,周边配套,售房详情,交通出行,适宜人群,权属抵押,用水类型,用电类型
0,['中海紫御公馆采光好大阳台，南向两居'],1050,116564,"['东城', '陶然亭']",2室2厅1厨1卫,低楼层 (共17层),90.08㎡,平层,71.79㎡,板塔结合,南,钢混结构,精装,两梯六户,集中供暖,有,2023-11-17,商品房,2012-03-26,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,"
                    低总价，房子虽然在三层，但是南向的采光没有大的影响
                  ","
                    中海紫御公馆是中海2010年在东城打造的高品质楼盘，小区楼间距大，外立面干挂石材现在看也和新房一样，人车分流，每个单元门口都有小喷泉，中海自持物业物业费3.28
                  ","
                    户型方正的南向两居，阳台面积比楼上的同户型都要大好多，两个南向的房间都很大，可以放大双人床和衣柜，明厨明卫
                  ","
                    房子是2010年毛坯交房，新业主买过来需要重新装修了，户型方正，格局合理，采光充足
                  ",,,,,,,,
1,['安德路社区  单位家属楼 管理好 交通便利'],578,99007,"['东城', '安定门']",2室1厅1厨1卫,中楼层 (共6层),58.38㎡,平层,暂无数据,板楼,南 北,混合结构,精装,暂无数据,集中供暖,无,2023-11-22,商品房,2015-07-22,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,"
                    此房满五年唯一商品房，中间楼层，南北通透两居室，配套齐全！
                  ","
                    小区是一个比较规整的公房社区，共16栋楼，楼龄90-95居多。单位有冶金/农机院/银行等。得房率75%左右，管理不错，院内有超市/果蔬店等，可满足日常所需。
                  ",,,"
                    房屋产权：满五年唯一商品房，首套购买计税价格1%契税，二套3%契税。没有其他税费。
                  ","
                    小区西门出去是青年湖公园南门，从青年湖公园北门出去再往北走是柳荫公园，小区东边过了安定门外大街是地坛公园，小区向西650米有新民菜市场，种类丰富。距离地铁2号线安定门站700米左右{距离来自百度地图）
                  ",,,,,,
2,['央产房南北三居带客厅 采光充足 交通便利 随时看'],680,94406,"['东城', '东直门']",3室1厅1厨1卫,高楼层 (共6层),72.03㎡,平层,暂无数据,板楼,南 北,混合结构,精装,暂无数据,集中供暖,无,2023-11-22,已购公房,2007-06-14,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,"
                    公房满五年 南北通透户型好 采光充足 交通便利 业主诚意出售
                  ",,"
                    本房是1994年建成，南北通透三居室，两个卧室朝南，另外一个小卧室朝北，客厅有窗户对着天井，厨房的窗户也是对着天井。高楼层无遮挡，采光充足。
                  ",,"
                    已购公房，满五年，业主家庭名下在北京还有其他房产，交易过程中会产生契税，首套购房1%，二套购房3%；土地出让金1123.67元；个人所得税1%。
                  ","
                    商场：天客隆、美廉美、奥士凯；商场：来福士、东方银座；医院：北京第六医院、陆军总医院、东直门中医院
                  ","
                    本房业主长期上海生活和工作，房子闲置，现在考虑变现，几年前自住装修。
                  ","
                    小区位于东直门桥西北角，东直门公交枢纽，地铁2号线和13号线的换乘站，公交站东直门内，107、635、24、117、、106等多路公交经过，出行便利。
                  ",,,,
3,['海关央产 精装南北通透4居 采光好 电梯直达 交通便利'],1320,104854,"['东城', '建国门外']",4室1厅1厨1卫,低楼层 (共12层),125.89㎡,平层,暂无数据,板塔结合,南 北,混合结构,精装,三梯十二户,集中供暖,有,2023-11-22,央产房,2000-09-15,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,"
                    满五年，海关央产，南北通透，采光充足，电梯直达，交通便利
                  ","
                    小区是海关总署的家属院，96年建成，楼龄相对较新，有物业管理，小区有绿化，院内能停车，各个出入口都有24小时安保职守，安全性好。
                  ","
                    房子是南北通透的，三间卧室朝南带阳台，各个卧室都很宽敞，宜居，一间卧室和厨房朝北，通透性很好。
                  ",,"
                    房子是央产房性质，满五年不唯一，①土地出让金15.6元/平米，③契税根据买方确定，首套1.5％，二套3％。③个税1%
                  ","
                    2公里内的配套设施: 医院:协和医院,北京医院,同仁医院 商场:东方新天地,新世界,wang府井步行街 银行:光大,招商,工商,华夏,建设,北京,北京农商,邮储,交通,浙商等 超市:物美超市,稻香村.
                  ",,,"
                    此房电梯直达，三间卧室朝南向均带阳台，采光棒，适合有老人的家庭居住，位置好，交通便利，通勤方便。
                  ",,,
4,['东中公寓南北大三居室，中高层，采光很棒'],1380,92086,"['东城', '东直门']",3室2厅1厨2卫,中楼层 (共10层),149.86㎡,平层,116.3㎡,板楼,北 南,钢混结构,简装,两梯两户,集中供暖,有,2023-11-16,商品房,2009-05-04,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,"
                    楼层好，南侧没有遮挡。小区很安静，方便停车。
                  ",,"
                    南北三居室，两个卧室朝南一个卧室朝北，两厅两卫，餐厅12平米，客厅25平米，主卫6.8平米，客卫3.4平米，整个户型设计的方正舒适
                  ",,,,"
                    业主是单纯变现，处理资产，卖房得诚意度很高，目前在北京，方便签约。
                  ","
                    本楼盘处在东直门桥的东南角，是地铁2号线，13号线，机场快轨，去往平谷，怀柔，密云，顺义等长途车站的换乘站。
                  ",,,,
5,['东城 龙体 南岗子低楼层南北两居 厅有窗户 满五'],522,97225,"['东城', '崇文门']",2室1厅1厨1卫,低楼层 (共6层),53.69㎡,平层,暂无数据,板楼,南 西 北,混合结构,精装,暂无数据,集中供暖,无,2023-11-20,商品房,2015-09-01,普通住宅,满五年,共有,"
                                无抵押
                              ",已上传房本照片,"
                    房子总高6层在2层 并且西向还有窗户。房龄在小区较新是1985年的
                  ","
                    小区是1985年左右的房子，离出入口近，小区是1978-1988年左右崇文老师的教师楼，现在大部分也都是退休的老师在住，房子的楼间距都在30米左右，小区出行方便，离天坛公园1.1公里左右，离地铁5号线天坛东门站1公里左右，
                  ","
                    房子是把边的单元，所以西向客厅有窗户，南北各一间卧室，现在业主把南向的卧室给打开了。整个卧室的采光好，前面也没有遮挡，房子通透性好，整个格局合理，没有浪费面积。看房效果好
                  ",,,,,,,"
                    房子是姐妹共有的，产权清晰，家人都同意出售，没有抵押，没有纠纷。
                  ",,
6,['商务部家属院 南北通透3居室 满五唯一 2层 采光好'],835,128601,"['东城', '东单']",3室1厅1厨1卫,低楼层 (共6层),64.93㎡,平层,暂无数据,板楼,东 南 北,混合结构,精装,暂无数据,集中供暖,无,2023-11-17,商品房,2018-02-05,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,"
                    商务部家属院 南北通透3居室 满五唯一 2层 位置好 采光好
                  ","
                    台基厂头条分三个院，其中有2号院10号院14号院，小区是2015国家将本小区重新翻新的，重新做的保温层，包括楼道，下水水管道，每个单元门全都换成新的了，小区绿化也是重新做的，还有每个单元都有摄像头，商品房也打不到这个标准，整个小区焕然一新
                  ",,,"
                    房子是商本满五唯一，首套1%契税，二套3%契税，税费成本低，成本很合适的一套
                  ","
                    小区的南面北京医院，东面东单公园，西面是老市委办公大楼，东北角东单篮球场~足球场，和东单游泳馆，正北面是空军后勤和商务部
                  ","
                    业主买房是单纯变现，不换房没有其它需求，就是先把房产处理掉。
                  ",,,,,
7,['2007年楼龄新有车库全明两居室电梯直达户型好'],1008,114157,"['东城', '和平里']",2室1厅1厨1卫,低楼层 (共21层),88.3㎡,平层,71.45㎡,塔楼,西北,钢混结构,精装,两梯八户,集中供暖,有,2023-11-15,二类经济适用房,2008-12-08,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,"
                    此房满五，唯一，进门客厅带阳台，很敞亮，明厨明卫。
                  ","
                    建成2007年，小区分东西两个小区，东院1、2、3、4号楼，西院5、6、7、8号楼，总共8栋楼。小区管理比较好，24小时保安值班登记，楼栋都是人脸识别进入。小区有地下车库，地下车位400元每个月，地上车位200元一个月。小区后面有花园，花园下面是车库
                  ",,,,"
                    中国银行、中信银行、北京银行等。小区的东侧出来有公交站（117/684/674/13路等公交车）。小区南门出来地铁5号线“和平里北街站”，购物方便：小区南门出来有：日日生鲜、美廉美、东单菜市场、地坛公园等。
                  ",,"
                    交通便利：出门东侧公交车站（117/684/674/13路等公交车），地铁5号线“和平里北街站”；2号线“雍和宫站”；13号线“柳芳站”。楼下有：健身房、和平里亲子广场、日日生鲜、美廉美、东单菜市场、天丰利商场，地坛公园等
                  ",,,,
8,['满五唯一商品房电梯直达 业主随时签约价格可谈'],595,96185,"['东城', '和平里']",2室1厅1厨1卫,低楼层 (共12层),61.86㎡,平层,暂无数据,板塔结合,南,钢混结构,简装,两梯八户,集中供暖,有,2023-11-22,商品房,2017-09-20,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,"
                    此房是和平里第首批带电梯的楼房，高楼层双朝南采光好。
                  ",,"
                    此房两间卧室都朝南向光线很好，前方没有遮挡视野一览无余，卫生间直排不用抬腿，中间有一个可以摆放沙发电视的客厅很温馨的布局。
                  ",,,"
                    楼下就有公交车站，东边南边都有地铁；南侧是地坛公园，西侧是柳荫公园、青年湖公园，环境好空气清新。
                  ",,"
                    东侧是地铁5号线和平里北街站，南侧是地铁2号线安定门站，交通便利，方便出行。
                  ","
                    本房是业主自住的装修，带电梯且电梯直达，有老人小孩的家庭适合居住，节省体力。
                  ",,,
9,['景泰西里西区 朝南一居，精装修'],460,75683,"['东城', '永定门']",1室1厅1厨1卫,低楼层 (共8层),60.78㎡,平层,51.2㎡,板塔结合,南,钢混结构,精装,一梯四户,自供暖,有,2023-11-22,二类经济适用房,2006-11-09,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,"
                    此房满五年唯一，朝南向，带电梯，近地铁
                  ","
                    景泰西里西区是2005年由央企中冶开发的，建筑质量好，钢混结构带电梯，总楼层地上11层，密度低，小区环境优雅，一共有16栋楼，每栋楼之间有开放式花园，绿化好，人车分流管理，小区有车库，邻里关系和谐，生活气息浓厚
                  ","
                    此房为正规南向一室一厅，无遮挡，楼层高，采光通风都很好，客厅朝南有窗户，采光不错，主卧朝南，带大阳台，厨房有窗户可以通风，卫生间面积比较大，可以做干湿分离，业主自住，产权清晰
                  ",,,"
                    小区自带底商，配套齐全，有便利店，水果店，温馨超市，菜市场，木樨园早市，银行，药店，鼓楼中医院，永定门人民医院等皆可步行可达，一站地到百荣世贸商城，方庄购物广场等生活便利，更有政府改造工程“望坛新苑”，天坛府商品房在建，配套未来可期
                  ",,"
                    距离地铁14号线景泰站300米左右（来源于高德地图），一站式换乘5号线蒲黄榆站及8号线永定门外站，三轨交汇，出小区北门安乐林路更有7/25路等公交车，交通出行十分便利
                  ",,,,
