,标题,总价格,单价,地段,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,供暖方式,配备电梯,挂牌时间,交易权属,上次交易,房屋用途,房屋年限,产权所属,抵押信息,房本备件,核心卖点,小区介绍,适宜人群,户型介绍,税费解析,周边配套,交通出行,装修描述,权属抵押,售房详情,用水类型,用电类型,燃气价格
0,['百旺府三区，中间楼层，毛坯，满五唯一，有钥匙'],1230,87377,"['海淀', '海淀北部新区']",3室2厅1厨2卫,中楼层 (共6层),140.77㎡,平层,121.23㎡,板楼,南 北,钢混结构,毛坯,一梯两户,自供暖,有,2023-11-15,商品房,2016-11-23,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,"
                    百旺府三区中间位置，中间楼层，毛坯，满五唯一，有钥匙
                  ","
                    小区是冠城大通开发的商品房，总楼栋99栋楼，2885户，小区都是总高6层的花园洋房，带电梯，居住舒适度很高，位于永丰板块，产业聚集，配套完善，小区内部就有底商，包含便利店、餐馆、理发店、培训机构等，小区出西门就是中关村壹号，西北方向有海淀大悦城
                  ","
                    小区位于永丰产业基地板块，西侧永丰产业基地，用友软件园，环保科技园等众多产业园区，南侧是航天城和中关村软件园，房子适合在园区工作的人员，适合一家人住，老少分区，动静分离，房子业主诚意卖，看房提前约
                  ","
                    此房位于百旺府三区，建成于2015年，电梯洋房，房子位于三区中间位置，中间楼层，眼睛户型，全明格局，不把边。业主诚意出售，看房有钥匙
                  ","
                    小区为商品房社区，此房位于三区，建成于2015年，此房房本满五年，家庭唯一住房，原值高，只有契税，节约您的购房总成本。
                  ",,,,,,,,
1,['景宜里 南北三居室 地铁口 不临街 中间楼层 采光好'],990,79030,"['海淀', '田村']",3室1厅1厨2卫,中楼层 (共9层),125.27㎡,平层,暂无数据,板楼,南 北,钢混结构,简装,一梯三户,集中供暖,有,2023-11-21,二类经济适用房,2020-06-17,普通住宅,满两年,非共有,"
                                无抵押
                              ",已上传房本照片,"
                    中间楼层，采光视野好，配套齐全，交通便利
                  ","
                    本小区是04年由大苑地产开发的9层低密度电梯板楼社区。社区共5栋住宅楼，楼间距50米，绿植覆盖，地上地下均设有停车位，停车方便，中式园林绿化，物业管理严格，24小时安保。
                  ","
                    此房有电梯，挨着田村地铁口跟京粮广场，适合各个年龄阶段，可以是坐6号线的上班的精英；田村密度低，公园多，可以是退休的老年人朋友
                  ",,,"
                    小区北侧有绿化公园，城市休闲场所四季青镇群众文化广场，阜石路南侧是田村山体育公园，小区东侧150米是京粮广场物美购物店，生活便利
                  ","
                    开车出门走田村路东行2公里就是四环主路，开车走玉泉路600米可以到阜石路主路，高架桥全程无红绿灯，北面是旱河路可以绕到四季青桥等； 公共交通：门口地铁6号线田村站，步行100米即达；公交站有田村站，途径336，568，688，977，981等等
                  ",,,,,,
2,['永泰园南向大三居，户型好没浪费，看房方便。'],945,59390,"['海淀', '清河']",3室2厅1厨2卫,低楼层 (共31层),159.12㎡,平层,暂无数据,塔楼,南,钢混结构,简装,三梯八户,集中供暖,有,2023-11-26,商品房,2016-05-26,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,"
                    房子满五年唯一，电梯直达，业主诚心出售，交通方便。
                  ","
                    2002年的商品房社区，小区中间是大花园，有健身广场，环境绿化好，地下车位可以租，停车方便，人车分流。
                  ",,"
                    房子东南朝向，高楼层，视野很好，客厅落地窗，不临高速，安静。
                  ",,,"
                    距地铁8号线永泰庄站833米、昌平南延线上清桥站653米（高德地图），开车出行上京藏高速和北五环也很便利。
                  ",,,,,,
3,['五棵松金沟河5号院带电梯98年复式 干部楼 户型正'],968,83665,"['海淀', '五棵松']",4室2厅1厨2卫,顶层 (共6层),115.7㎡,复式,暂无数据,板楼,北 南,混合结构,精装,一梯两户,集中供暖,有,2023-11-27,商品房,2018-09-05,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,"
                    满五年唯一，商品房，1998年房龄，6层板楼带电梯复式干部楼
                  ",,"
                    此房是6层板楼带电梯的，6跃7层的大复式，使用面积大，适合家里幼中老人口多的客户选择，
                  ","
                    此房是上下两层的结构，底下一层是90平米的平层三居室，楼上有斜顶，随附面积多，客厅带窗户的，少见的户型，此房是航天单位的中层领导干部楼，大的小区里又有单独管理楼，房龄是1998年的，房子也不临街。
                  ","
                    此房是满五年唯一的商品房，可以对外出售，不是航天系统的客户也可以买，客户首套需要网签价1.5%的契税，二套需要网签价3%的契税。
                  ",,,"
                    此房是业主2015年装修的，要求不高可以完全拎包入住的，因为直接住，各方面设计的已经比较合理了，买过来可以刷下墙直接住的。
                  ",,,,,
4,['乐府江南 小区南北通透两居室 看房方便'],1080,102080,"['海淀', '田村']",2室1厅1厨2卫,低楼层 (共9层),105.8㎡,平层,暂无数据,板塔结合,南 北,钢混结构,精装,一梯五户,集中供暖,有,2023-11-24,商品房,2006-09-29,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,"
                    此房满五年唯一，小区环境好，看房方便，价格合适随时签约
                  ","
                    乐府江南小区是一个大型的商品房社区，环境优美，配套完善，交通方便，人车分流，小区里有游泳馆健身房，网球场，儿童乐园，小区底商有好几个社区银行，还有京客隆，大鸭梨，往西800米有地铁六号线田村站，旁边还有大商场
                  ",,"
                    房子南北通透两居室，双卫设计，布局合理，没有什么浪费面积，中间楼层，采光充足，业主诚意出售，优点房子南边带15晒衣台平米，可见小区绿化。
                  ",,"
                    配套成熟京客隆、首农、卖果果，大鸭梨，银行有建设、交通、光大、农业等银行，医院有航天医院、武警医院、301、304等多家医院.
                  ",,,,,,,
5,['精装修，低楼层，不临街，满五唯一成本价房'],467,84602,"['海淀', '马连洼']",2室1厅1厨1卫,中楼层 (共5层),55.2㎡,平层,暂无数据,板楼,南,混合结构,精装,暂无数据,集中供暖,无,2023-11-26,已购公房,2018-11-07,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,"
                    精装修，低楼层，不临街，满五唯一成本价房
                  ","
                    小区一手业主都是老师 属于农大家属院，里边居住人群都是农大的单位职工和教授，出小区东门，朝南步行即是16号线农大南路地铁站，小区出行便利。
                  ",,,"
                    无抵押，产权清晰，干干净净的房子，位置安静，不临街，诚心出售
                  ","
                    不用出小区就可以步行2到5fen等最南面一楼有底商饭店老北京巫山烤鱼等小区东门有菜店和饭店等不用出小区就可以享受便民服务
                  ",,,,,,,
6,['总监力荐 清河永泰小区东里 次顶层 满五唯一'],428,70050,"['海淀', '清河']",2室1厅1厨1卫,高楼层 (共6层),61.1㎡,平层,暂无数据,板楼,南 北,混合结构,精装,暂无数据,集中供暖,无,2023-11-24,商品房,2016-11-03,普通住宅,满五年,非共有,"
                                有抵押 100万元
                              ",已上传房本照片,"
                    此房满五年，视野采光很好，看房提前联系，产权清晰
                  ","
                    永泰东里小区建成于1994年至2000年，距离北五环往北约1公里，京藏高速往东约800米，林萃路往西约700米，位于地铁八号线永泰庄站东南角，交通发达，出行便利。
                  ",,,"
                    本房仅有契税，建议您实地看房，如果看完比较喜欢，可以实地约谈业主
                  ",,"
                    永泰东里位于地铁8号线永泰庄站东南方向是距离地铁比较近的小区了，小区出口是公交车站永泰小区站公交线路有476、490、81，专89路等出行便利
                  ",,"
                    产权清晰无抵押，房子内有户口。业主卖房变现，价格可谈，诚意出售。
                  ",,,,
7,['万寿路小区 满五年唯一 南北朝向 三居 诚心出售'],528,93287,"['海淀', '公主坟']",3室1厅1厨1卫,顶层 (共6层),56.6㎡,平层,暂无数据,板楼,东 南 北,混合结构,简装,暂无数据,集中供暖,无,2023-11-27,商品房,2015-11-26,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,"
                    万寿路小区 满五年唯一 南北朝向 三居 诚心出售
                  ","
                    本小区位于西三环外，属于公主坟商圈，西长安街北侧400米（来源于百度地图）小区总共有5栋楼，全部都是板楼，小区是大件运输总公司宿舍楼，主要居住人群是大件运输总公司职工
                  ",,,"
                    本房无抵押，无查封，无纠纷，产权清晰，业主诚心出售，随时可签约！
                  ","
                    商场有：翠微大厦，翠微生活广场，印象城，凯德精；医院有;301医院，304医院，空军总医院，水里医院等，公园有玉渊潭公园，烟雨公园，交通有：地铁1号线，公交有：32路，1路，337路，335路，68路等；生活配套成熟
                  ",,,,,,,
8,['莱镇三期2012年直达地下车库 钥匙房随时看 万科物业好'],635,88232,"['海淀', '清河']",1室1厅1厨1卫,中楼层 (共16层),71.97㎡,平层,58.09㎡,板楼,南,钢混结构,简装,两梯四户,集中供暖,有,2023-11-26,商品房,2013-07-20,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,"
                    此房满五年 中间层 三期2012年电梯板楼直达车库 万科物业品质好
                  ","
                    莱圳家园三期是2012年的楼龄，位于北区，楼栋位置属于小区中间位置，不临街，不把边。配套齐全生活方便，小区南侧是小营悦茂商场，生活方便。小区北区北侧和南区分别有两个公园，西小口市政公园和小营公园。
                  ",,,,"
                    小区北侧西小口公园，东南角是悦茂购物商场，物美距离小区800米，楼下就是公交车站，门口有东升社区医院。
                  ","
                    通勤方便，从小区东门出来500米是8号线西小口地铁（来源于百度地图）小区西门出来是专89路公交站。交通便利。
                  ",,,,,,
9,['双榆树东里，满五年的单位分房，不临街，优质两居室'],525,106061,"['海淀', '双榆树']",2室1厅1厨1卫,底层 (共6层),49.5㎡,平层,暂无数据,板楼,南,混合结构,精装,暂无数据,集中供暖,无,2023-11-26,已购公房,2002-03-18,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,"
                    双榆树东里低总价两居室，满五年的公房，不临街停车方便，优质房
                  ","
                    双榆树东里，属于单位分房，人员居住单一，邻里和睦，停车有一个单独区域，停车方便。前后不临街，采光无遮挡。
                  ",,"
                    房子是双朝南的2居室，主卧室朝南15.4㎡，次卧室朝南9.6平米，厨房朝南3.9平米，卫生间2平米，进门就是客厅6.5平米，户型方正，没有浪费的空间！
                  ",,,"
                    小区交通便利，配套齐全，小区有3条地铁线路分别是地铁4/10/12号线，比较近的地铁站：人民大学/黄庄/知春里站；小区还有大型超市物美；超市发；华星影城，佳园春菜市场，购物方便，还有海淀社区医院，中关村医院，北大妇幼，北医三院等。
                  ",,,"
                    业主卖房是为了置换，想置换到孩子单位旁边。此房是当时单位分的，产权清晰，无抵押，无纠纷。
                  ",,,
