,标题,总价格,单价,地段,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,供暖方式,配备电梯,挂牌时间,交易权属,上次交易,房屋用途,房屋年限,产权所属,抵押信息,房本备件,核心卖点,户型介绍,周边配套,税费解析,小区介绍,适宜人群,交通出行,装修描述,售房详情,权属抵押,用水类型,用电类型,燃气价格,别墅类型
0,['融城园南区    大三居室    有chepeng'],178,20039,"['怀柔', '怀柔']",3室1厅1厨1卫,中楼层 (共6层),88.83㎡,平层,暂无数据,板楼,南 北,混合结构,精装,暂无数据,集中供暖,无,2023-11-16,商品房,2005-07-27,普通住宅,满五年,非共有,"
                                有抵押 200万元
                              ",已上传房本照片,"
                    此房满五年，唯一，家里采光好，中间层
                  ","
                    ：
房子保持的比较干净，南向2个卧室都有阳台，北侧的阳台带窗户，
                  ","
                    小区门口有庙城南公交站，有公交车H10路，H60路。距离庙城东公交站920米左右，有公交车866路（怀柔汽车站-地铁望京西），916路快（怀柔汽车站-东直门枢纽站）
                  ","
                    房屋产权为商品房。房产登记日期满5年，业主家庭不唯一套住房。首套购买有1%契税，二套后买有3%契税。
                  ",,,,,,,,,,
1,['迎宾北路8号楼中间层 三居室 把边户型'],239,26418,"['怀柔', '怀柔']",3室1厅1厨1卫,中楼层 (共5层),90.47㎡,平层,暂无数据,塔楼,南 北,混合结构,简装,暂无数据,集中供暖,暂无数据,2023-11-23,商品房,2009-02-25,普通住宅,满五年,非共有,"
                                有抵押 174万元
                              ",已上传房本照片,"
                    满五唯一，中间层三居室，把边户型
                  ","
                    南北通透三居室 中间楼层 把边户型明厨明卫，客厅有窗户采光好
                  ",,,"
                    小区位于迎宾路东侧，只有1栋楼；位置不错很安静，独立的管理，停车方便。
                  ","
                    三居室变四居，适合一大家人居住  交通方便，独立小区环境安静，停车方便
                  ",,,,,,,,
2,['湖光小区 2室1厅 南 北'],155,25693,"['怀柔', '怀柔']",2室1厅1厨1卫,中楼层 (共5层),60.33㎡,平层,暂无数据,板楼,南 北,混合结构,简装,暂无数据,集中供暖,无,2023-11-09,商品房,2021-06-30,普通住宅,满两年,非共有,"
                                无抵押
                              ",已上传房本照片,,,,,,,,,,,,,,
3,['世嘉光织谷东区，满五唯一，精装修，花园洋房'],410,32223,"['怀柔', '怀柔']",3室1厅1厨2卫,底层 (共7层),127.24㎡,平层,109.18㎡,板楼,南 北,钢混结构,精装,一梯三户,集中供暖,有,2023-09-11,商品房,2016-11-16,普通住宅,满五年,共有,"
                                无抵押
                              ",已上传房本照片,"
                    此房满五年唯一，南北通透，一层花园，采光充足，有花园
                  ","
                    这套房子是南北通透，采光好，无遮挡。精装修，业主自住保持好。
                  ",,,"
                    光织谷东区是2013年交房入住的小区，楼龄比较新，小区内的环境很好，物业费用也不贵1.88/㎡，而且小区内地上是免费停车的。
                  ",,"
                    本小区在京承高速出京方向14出口怀柔城区方向，下了京承高速直接上高架桥雁栖湖方向，上桥后从第二出口处下桥，即可到达小区，出行方便，交通便利，门口还有公交车进去怀柔城区，以及怀柔医院。
                  ",,,,,,,
4,['泉河园二区    三居室  精装修   有下室'],305,26792,"['怀柔', '怀柔']",3室2厅1厨2卫,低楼层 (共6层),113.84㎡,平层,113㎡,暂无数据,南 北,混合结构,精装,暂无数据,集中供暖,无,2023-10-21,商品房,2006-08-01,普通住宅,满五年,非共有,"
                                有抵押 20万元 220万经营贷款
                              ",已上传房本照片,"
                    此房满五唯一，南北通透，精装修，视野开阔采光好，交通便利
                  ",,"
                    小区出门即到公交站，饭店，宾馆，银行，医院，娱乐场所等一应俱全，各种配套设施齐全。
                  ",,"
                    小区位置优越，环境优美，邻里之间和睦，人群素质高，安保设施和物业服务到位
                  ",,,"
                    业主自选自用，精装修，配套齐全。可以满足日常生活所需。拎包入住
                  ",,,,,,
5,['南华园四区观河景精装南北通透三居双卫小区停车便利'],498,21615,"['怀柔', '怀柔']",3室2厅1厨2卫,中楼层 (共6层),230.4㎡,平层,暂无数据,板楼,南 北,混合结构,精装,暂无数据,集中供暖,无,2023-08-10,商品房,2001-02-22,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,"
                    南北通透格局好，楼层好，视野宽阔，价格能谈,小区停车方便..
                  ","
                    此房目前自主，装修保持的很好，南北通透的格局，主卧通阳台，南北都有阳台，西北卧室可观河景。
                  ","
                    公园：怀柔城市森林公园、第四次世界妇女大会纪念公园。 商场：青春万达广场（怀柔店）、京北大世界、新悦百货。 银行：兴业银行、工商银行、农业银行、光大银行、建设银行、北京银行。 医院：北京中医医院怀柔医院、北京怀柔医院。
                  ",,,,"
                    公交：916路快车、H6路、H9路、H44路、H53路、H54路、H62路、郊80路、郊86路、...； 高速：京密高速、京承高速、通怀路、S5号线
                  ",,,,,,,
6,['顶秀美泉A区，户型方正，南北通透，视野宽阔，精装修'],359,26834,"['怀柔', '怀柔']",3室2厅1厨2卫,中楼层 (共4层),133.79㎡,平层,118.69㎡,板楼,南 北,钢混结构,精装,暂无数据,集中供暖,无,2023-09-16,商品房,2014-12-19,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,"
                    南北通透，楼层好，采光好，户型方正，看房子方便
                  ",,"
                    中国建设银行雁栖分行、中行栖美园分行、邮政储蓄银行、工商银行、北京农村银行范各庄分行；医院：怀柔医院、怀柔中医院、怀柔雁栖医院；餐饮：眉州东坡酒楼、红螺园饭庄、小懒羊涮肉、农家乐、红酒庄园、雁栖不夜谷，鱼香来等
                  ",,"
                    顶秀美泉小镇是怀柔区低密生态小区，ABC三区一共78栋住宅楼，总户数为2045户；物业为北京鸿路泽物业管理有限公司，小区24小时物业管理，A区C区物业费1.35，B区3.5；配套设施齐全，小区内停车位充足
                  ","
                    适宜多人和不同年代人居住，共4个卧室 两厨 3卫，空间充足。带隔层，可满足家庭中喜欢或需要独立空间的人。小区居住人群纯粹，基本都是科学城的科研人员，国科大教职工和生态环境要求高的人，是注重人文素养，喜欢清净和别墅质感人的不二选择。
                  ","
                    小区门口就是京加路，北接雁栖湖，南达怀柔城区，门口就是公交站，有H11路、H18路、H29路、H31路、H43路、H58路、H64路、H67路、小区西北方向2000米即是直达西直门的S5号线高铁雁栖湖站，向南15公里是京沈高铁怀柔南站，向西1000米即京密高速
                  ",,,,,,,
7,['世嘉光织谷西区 南北通透 采光好 户型方正'],430,28008,"['怀柔', '怀柔']",4室2厅1厨2卫,高楼层 (共7层),153.53㎡,复式,132.33㎡,板楼,南 北,钢混结构,精装,一梯三户,集中供暖,有,2022-01-09,商品房,2013-04-22,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,"
                    此房满五唯一，南北户型 ，采光好，电梯房
                  ","
                    小区是电梯房，一梯三户， 精装修，南北通透  采光好 户型方正。
                  ",,,"
                    小区是电梯房 精装修 封闭式小区 ，进出入需刷卡   小区环境好，24小时监控巡逻。
                  ",,"
                    驾车：京承高速，怀柔出口出，沿京密路直行到开放环岛，进入青春路公交线路：有H62路到怀柔万达。北京公交916（东直门-怀柔），936（东直门-怀北滑雪场），866（府前东街东口-望京地铁口）
                  ",,,,,,,
8,['新村 复式 南北通透 单价低 诚意出售'],195,20787,"['怀柔', '怀柔']",4室2厅1厨2卫,顶层 (共6层),93.81㎡,复式,暂无数据,板塔结合,南 北,混合结构,精装,暂无数据,集中供暖,无,2023-10-18,商品房,2014-03-13,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,"
                    本房满五年唯一，有大阳台，南北通透，顶层复式
                  ","
                    本房户型南北通透，带有大阳台，全年采光充足，全年采光好没有遮挡
                  ",,,"
                    小区位于雁栖镇政府南100米路东，航天工程大学，小区楼栋林立，户型南北通透，停车便利。园区内有花园有草坪车车棚，还有孩子游玩区域
                  ",,"
                    出了小区南门就是中高路，北侧200米是京加路，直达京承高速怀柔站，京郊铁路S5号线雁栖湖站距离小区1公里的距离
                  ",,,,,,,
9,['钓鱼台      6带7复式    单价1万9千  还带楼台'],310,19628,"['怀柔', '怀柔']",3室3厅1厨2卫,顶层 (共6层),157.94㎡,复式,暂无数据,暂无数据,南 北,钢混结构,精装,暂无数据,暂无数据,无,2023-11-10,商品房,2009-11-24,普通住宅,满五年,非共有,"
                                有抵押 记不清了180左右
                              ",已上传房本照片,"
                    此房满五唯一，南北朝向大三居室，诚意出售。
                  ",,"
                    小区南门出小区往南300米左右就是商场京北大世界，有建设银行 向南走100M就是京北大世界 ，向西走1km就是万达购物广场里面包含各种美食 各种品牌衣服
                  ",,,"
                    本房适合年轻人，每个房间都很宽敞，采光好，也适合改善型的客户。
                  ","
                    本小区地处怀柔城区中间位置，916直达东直门，H61内环出行相当方便。
                  ",,,,,,,
