,标题,总价格,单价,地段,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,供暖方式,配备电梯,挂牌时间,交易权属,上次交易,房屋用途,房屋年限,产权所属,抵押信息,房本备件,核心卖点,小区介绍,周边配套,交通出行,适宜人群,户型介绍,权属抵押,售房详情,装修描述,税费解析,用水类型,用电类型,燃气价格,别墅类型
0,['后南仓小区 满五年 纯南向正规两居室 业主急售'],183,34984,"['通州', '万达']",2室1厅1厨1卫,顶层 (共6层),52.31㎡,平层,暂无数据,板楼,南,混合结构,简装,暂无数据,集中供暖,无,2023-11-24,已购公房,2003-10-09,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,"
                    此房满五年，纯南两居室视野好，没有遮挡，业主诚心出售。
                  ","
                    小区有27栋楼，建成年代78年到82年之间，全部是已购公房，社区规模大。小区内部有菜市场和花园，配套有万达广场，地铁北苑站，潞河医院等，成熟社区，配套齐全，生活便利， 是您居住的不错选择结构
                  ","
                    后南仓小区是板楼社区，以总高6层的楼为主，小区户型居住舒适。后南仓社区东门100米是通州三甲综合医院潞河医院，1500米可到万达广场。社区门口有802、809、587、582等公交车
                  ","
                    社区门口有802、809、587、582等公交车，出行方便。
                  ",,,,,,,,,,
1,['新城阳光南向好户型大好楼层两居诚意出售随时可以看房'],378,40209,"['通州', '梨园']",2室1厅1厨1卫,高楼层 (共15层),94.01㎡,平层,暂无数据,板楼,南,钢混结构,简装,两梯四户,集中供暖,有,2023-11-24,商品房,2016-09-21,普通住宅,满五年,非共有,"
                                有抵押 50万元 工商银行 业主自还
                              ",已上传房本照片,"
                    此房满五年唯一，业主五年前购买的二手房，诚心买，看房随时
                  ",,,,"
                    房子是总共15层的电梯板楼，两梯四户，高楼层采光视野很好，客厅主卧都是朝南落地窗大阳台，全天候采光无任何遮挡，次卧业主朝南的，有电梯不用担心爬楼的困扰！厨房卫生间宽敞，房子每个功能间都恰大好处没有浪费！适合各年龄段人士居住
                  ","
                    房子是小区里典型的三阳纯南大两居，大通长的客厅朝南有将近30平，落地窗全天候采光很好！净空间4.5平米的大落地阳台，适合养点花花草草或者做个茶室喝喝茶聊聊天晒晒太阳享受生活，惬意！主卧也是朝南带落地窗的很宽敞！厨房朝西5.6平米宽敞好利用！
                  ","
                    房子是满五年唯一的纯商品房，本次交易只有契税，没有其他税费！
                  ",,,,,,,
2,['果园万达商圈 板楼 中间楼层 南北通透两居'],235,34851,"['通州', '果园']",2室1厅1厨1卫,中楼层 (共6层),67.43㎡,平层,暂无数据,板楼,南 北,混合结构,简装,暂无数据,集中供暖,无,2023-11-24,已购公房,2017-10-24,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,"
                    此房满五年唯一，楼层好，采光好
                  ",,"
                    小区北侧是通州北苑万达广场，国泰百货，小区南侧是九棵树家乐 福，罗斯福广场，医院有东直门医院和潞河医院
                  ","
                    小区南侧是八通线果园地铁站，开车可以走京通快速路和广渠路，公交车有668.938.801.
                  ",,"
                    房子格局好，南北通透，主卧室和客厅朝南，带个大阳台，次卧室和厨房朝北。每个功能间的面积都很大。
                  ",,,,,,,,
3,['地铁6号线，南北大二居，主卧朝南，客厅落地窗'],448,43674,"['通州', '北关']",2室1厅1厨1卫,底层 (共6层),102.58㎡,平层,92.47㎡,板楼,南 北,混合结构,精装,一梯两户,集中供暖,有,2023-11-26,商品房,2003-04-03,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,"
                    房子满五年，南北通透格局，低楼层，视野好，采光充足
                  ","
                    天赐良园坐落于朝阳北路。小区为2000-2004年社区，板楼为主，多为南北通透户型，社区内绿化面积大，适宜居住，小区自带水景公园，有水系小桥流水，本房是2004年建成。本小区停车位充足，停车费150元/月，物业费0.97元/㎡/月.
                  ","
                    华联商场，天客隆，东北菜馆，麦当劳，天赐情缘KTV，康洁洗衣店，爱格堡幼儿园。建行，农行，工商银行。生活娱乐设施完善。
                  ","
                    华联商场，天客隆，东北菜馆，麦当劳，天赐情缘KTV，康洁洗衣店，爱格堡幼儿园。建行，农行，工商银行。生活娱乐设施完善。
                  ",,"
                    房子是正规大两居，客厅朝南带大阳台，厨房朝北，主卧朝南16平米左右，次卧室朝北15平米左右，两个卧室中间是卫生间，南北双通透，适合居住。
                  ",,,,,,,,
4,['河畔丽景 1室1厅 东南'],280,37625,"['通州', '武夷花园']",1室1厅1厨1卫,高楼层 (共28层),74.42㎡,平层,61.55㎡,塔楼,东南,钢混结构,简装,三梯十二户,集中供暖,有,2023-11-23,商品房,2010-04-20,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,,,,,,,,,,,,,,
5,['通州果园地铁1号线新华联家园三居大客厅'],588,40552,"['通州', '果园']",3室2厅1厨2卫,中楼层 (共12层),145㎡,平层,暂无数据,板楼,南 北,钢混结构,精装,一梯两户,集中供暖,有,2023-11-05,商品房,2007-01-06,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,"
                    户型好，客厅大。南北通透，居住舒服，楼层好
                  ","
                    小区南边有永辉，北面有北机菜市场，新隆嘉菜市场，购物买菜很方便；稍微远一点的有家乐福，罗斯福广场、万达广场；距离小区500米有东直门医院（三甲医院）
                  ","
                    房子配套完善，有餐饮一条街。各大银行，购物广场万达。物美大卖场，菜市场等多个配套。
                  ","
                    小区的北门口有668 669等多路公交车，直达国贸 北京站，小区西门口有807直达国贸，走京通快速路比较方便
                  ",,"
                    房子楼层好，适合家里有老人孩子的，房子正规三居，格局方正，南北通透，居住舒服
                  ",,"
                    业主卖房子是出国，套现目前房子满五年家庭一套房子没有抵押交易简单方便
                  ",,,,,,
6,['珠江国际城八区  三居可使用空间大 花园洋房 满五唯一'],518,43120,"['通州', '潞苑']",3室2厅1厨1卫,顶层 (共8层),120.13㎡,复式,暂无数据,板楼,南 北,钢混结构,简装,一梯两户,自供暖,有,2023-11-11,商品房,2014-08-29,普通住宅,满五年,非共有,"
                                有抵押 320万元 中信银行 业主自还
                              ",已上传房本照片,"
                    此房顶层带挑高，南北通透，花园洋房电梯刷卡入户，小区有物美
                  ","
                    小区是2004年建成的电梯入户洋房高档小区小区大部分的楼栋是别墅总户数800户没有小户型入住的人员素质高安静宜居闹中取静
                  ",,"
                    小区距离地铁六号线通州北关站2.5公里（数据来源百度地图），小区南侧有667，615，675等公交车可以出行，交通便捷，出行方便
                  ","
                    家有老人距离友谊医院1公里电梯入户小区密度低安静宜居家里人口比较多的家庭房子是正规三居，能够住下三世同堂的家
                  ",,,,"
                    装修是原始开发商带的精装修，业主重新做了设计，出租可以直接使用，自住需要重新装修
                  ",,,,,
7,['70年产权住宅，民用水民用电，东南向三居室'],479,33269,"['通州', '通州北苑']",3室2厅1厨2卫,低楼层 (共29层),143.98㎡,平层,119.81㎡,塔楼,东南,钢混结构,简装,三梯十二户,集中供暖,有,2023-11-07,商品房,2004-12-30,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,"
                    此房满五年唯一，东南向正规三居室，双卧朝南阳光充足
                  ","
                    小区内现有一3000多㎡的大园林，绿树成荫，广场有喷泉，小区24小时电梯、门禁。集中供暖30元平米，物业费2.45平米，小区有地上停车位150元每月，地下停车位450元左右每月。社区内配套齐全有咖啡厅，健身房，游泳馆、会所、社区医院、民生银行。
                  ",,"
                    地铁站：八里桥地铁站，根据高德地图显示，从小区北门到地铁口236米！小区东门100米左右就是公交站八里桥站，有666.667.668.647.615.322路在此停靠，开车出门左转掉头就可上京通快速八里桥收费站 ，也可以走广渠路，真的很便利！
                  ",,,,,,,,,,
8,['月季园大三居 南北通透 户型方正'],618,47371,"['通州', '武夷花园']",3室2厅1厨2卫,底层 (共25层),130.46㎡,跃层,106.15㎡,塔楼,南 北,钢混结构,精装,两梯两户,集中供暖,有,2023-11-13,商品房,2010-11-12,普通住宅,满五年,共有,"
                                有抵押 186万元 公积金建行56、经营贷中信130 客户偿还
                              ",已上传房本照片,"
                    总价便宜，南北三居室，户型方正
                  ","
                    小区是2010年左右的商品房社区，用于居住的房子都有电梯，新城热力的集中供暖，有地上地下两种停车位，地下停车位有产权，市政的水和电，小区北侧有减河，减河边上是公园，小区门口有市政的公共自行车，小区北门出去即是运潮减河及公园
                  ","
                    大型的华联商场，吃喝购物为一体的，华联底商有农业银行，光大银行，工商银行，建设银行，北京银行，南边有三元村菜市场，早市的蔬菜新鲜，小区后门可以直接入减河公园，晚饭后锻炼身体便捷，往东走500米是潞河公园，中大型公园，环境优雅
                  ","
                    小区门口多条公交线路，可直达国贸，北京站，地铁6号线，北侧通燕高速，快速上6环，交通便利，正门口出门右转步行200米是武夷花园公交车站，交通便利，322公交车终点是四惠，342公交车终点是朝阳北路，804，808公交车终点是大北窑
                  ",,,,,,,,,,
9,['逸秀名园 南北通透三居 北观通惠河'],510,38012,"['通州', '万达']",3室2厅1厨2卫,高楼层 (共23层),134.17㎡,复式,105.75㎡,板楼,南 北,钢混结构,精装,一梯四户,自供暖,有,2023-11-18,商品房,2007-01-24,普通住宅,满五年,非共有,"
                                有抵押 200万元 客户偿还
                              ",已上传房本照片,"
                    此房满五年唯一 跃层户型 双入户门  高楼层 采光无遮挡
                  ","
                    逸秀名园小区2004年建成.位于通州新华大街西门路口东北角、南临新华西街.北边是通惠河，小区人车分离、24小时保安值班。小区内有幼儿园.小区西南角通州万达广场.交通生活都方便.
                  ",,"
                    出小区南门就是公交站，582路;615路;802路;811路;322路;322路快车;647路;666路;667路;804路;806路;808路;810路;快速直达专线路等多条线路经过，部分线路高速直达国贸。
                  ","
                    此房适合首付预算低，三代人居住客户，楼上楼下都有厨房，卫生间，互不影响，而且是电梯房
                  ",,,,,,,,,
